epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.977,1.51015,1.52118,1.21851,0.79869,0.6374,0.72867,0.39325,1.53084,1.67715,1.26748,0.000660066,0.000660066,0.000660066
2,66.6304,1.51397,1.14736,1.24151,0.83289,0.67456,0.76328,0.42995,1.54157,1.1945,1.29092,0.0013136,0.0013136,0.0013136
3,98.3079,1.50839,1.09144,1.24433,0.81702,0.71267,0.78176,0.41583,1.62232,1.11012,1.32264,0.00195393,0.00195393,0.00195393
4,129.211,1.4955,1.02958,1.25552,0.78551,0.77137,0.82901,0.45387,1.49174,1.03929,1.29364,0.0019406,0.0019406,0.0019406
5,161.297,1.48876,0.98352,1.25758,0.82619,0.73635,0.81504,0.44567,1.53805,1.03203,1.26728,0.0019208,0.0019208,0.0019208
6,191.686,1.46649,0.94188,1.23957,0.8848,0.77519,0.87158,0.49033,1.49154,0.9004,1.27362,0.001901,0.001901,0.001901
7,222.404,1.4543,0.92018,1.23624,0.84205,0.78515,0.8582,0.48931,1.45902,0.88276,1.24701,0.0018812,0.0018812,0.0018812
8,254.324,1.43465,0.8909,1.22958,0.86343,0.76181,0.85744,0.48778,1.41588,0.86233,1.25073,0.0018614,0.0018614,0.0018614
9,285.14,1.4358,0.89947,1.22238,0.86686,0.78455,0.86879,0.50308,1.42071,0.81965,1.23477,0.0018416,0.0018416,0.0018416
10,317.756,1.42639,0.86658,1.22749,0.87488,0.77056,0.87032,0.5002,1.42097,0.91067,1.24112,0.0018218,0.0018218,0.0018218
11,348.633,1.41336,0.8577,1.21058,0.87005,0.79609,0.87774,0.50647,1.43574,0.80841,1.23892,0.001802,0.001802,0.001802
12,379.835,1.41137,0.85017,1.21052,0.89164,0.78991,0.88375,0.51839,1.42551,0.81567,1.25007,0.0017822,0.0017822,0.0017822
13,412.001,1.38659,0.84216,1.20371,0.88406,0.80096,0.88292,0.52568,1.4042,0.79878,1.24211,0.0017624,0.0017624,0.0017624
14,442.738,1.38508,0.82264,1.19816,0.87684,0.80742,0.89142,0.52589,1.37081,0.78217,1.21986,0.0017426,0.0017426,0.0017426
15,474.772,1.36099,0.80234,1.18555,0.87503,0.80947,0.89622,0.53434,1.36595,0.75144,1.20485,0.0017228,0.0017228,0.0017228
16,505.563,1.35354,0.7947,1.18011,0.88767,0.8105,0.89443,0.53978,1.36812,0.75442,1.20692,0.001703,0.001703,0.001703
17,536.527,1.35319,0.78536,1.19646,0.8768,0.82698,0.89842,0.53854,1.40564,0.74287,1.21699,0.0016832,0.0016832,0.0016832
18,568.491,1.35819,0.79201,1.18545,0.87701,0.81256,0.89362,0.53221,1.34806,0.73025,1.21059,0.0016634,0.0016634,0.0016634
19,599.308,1.34407,0.77768,1.18064,0.87397,0.82132,0.89681,0.54101,1.33828,0.75171,1.21261,0.0016436,0.0016436,0.0016436
20,630.312,1.33723,0.77369,1.18122,0.89159,0.80947,0.8988,0.54771,1.34509,0.73966,1.20907,0.0016238,0.0016238,0.0016238
21,662.048,1.34637,0.76929,1.17287,0.90048,0.78991,0.90106,0.5569,1.3331,0.7349,1.18798,0.001604,0.001604,0.001604
22,693.225,1.32364,0.75049,1.16456,0.89688,0.80021,0.89245,0.54411,1.35271,0.73862,1.19772,0.0015842,0.0015842,0.0015842
23,725.088,1.34124,0.75684,1.17507,0.8897,0.82239,0.90047,0.55664,1.33127,0.70602,1.19281,0.0015644,0.0015644,0.0015644
24,755.963,1.30556,0.74033,1.15846,0.89633,0.83007,0.90818,0.55493,1.34386,0.73379,1.2008,0.0015446,0.0015446,0.0015446
25,787.014,1.32372,0.74873,1.17041,0.86097,0.83545,0.90444,0.55179,1.31908,0.77668,1.191,0.0015248,0.0015248,0.0015248
26,819.071,1.31005,0.73519,1.17262,0.88761,0.82149,0.90489,0.55774,1.31741,0.71056,1.20794,0.001505,0.001505,0.001505
27,850.175,1.30421,0.7348,1.1624,0.89616,0.8311,0.91819,0.56613,1.32234,0.69436,1.20196,0.0014852,0.0014852,0.0014852
28,882.359,1.29928,0.73216,1.16071,0.86459,0.83934,0.91331,0.55831,1.33735,0.72603,1.19605,0.0014654,0.0014654,0.0014654
29,914.08,1.27576,0.72705,1.14788,0.89495,0.83522,0.91032,0.55602,1.33174,0.69906,1.19937,0.0014456,0.0014456,0.0014456
30,945.486,1.28963,0.7154,1.15526,0.91333,0.82492,0.91383,0.56798,1.32028,0.69036,1.1991,0.0014258,0.0014258,0.0014258
31,978.016,1.25651,0.70348,1.14476,0.88921,0.84312,0.91656,0.56635,1.31009,0.6824,1.19086,0.001406,0.001406,0.001406
32,1008.85,1.27356,0.71298,1.14057,0.87676,0.85723,0.91488,0.56651,1.32181,0.67994,1.18945,0.0013862,0.0013862,0.0013862
33,1040.64,1.29244,0.71424,1.15747,0.9075,0.81836,0.91809,0.57351,1.30893,0.67699,1.2087,0.0013664,0.0013664,0.0013664
34,1071.61,1.2608,0.70973,1.14147,0.90334,0.83213,0.91678,0.56543,1.31993,0.67731,1.17173,0.0013466,0.0013466,0.0013466
35,1102.32,1.26232,0.69836,1.13809,0.9093,0.84659,0.91747,0.57619,1.30641,0.67718,1.18029,0.0013268,0.0013268,0.0013268
36,1134.51,1.25835,0.69354,1.14509,0.92026,0.81462,0.91103,0.56315,1.33654,0.68533,1.19136,0.001307,0.001307,0.001307
37,1165.75,1.25909,0.69268,1.13635,0.9128,0.82904,0.91084,0.57514,1.29008,0.67192,1.17415,0.0012872,0.0012872,0.0012872
38,1197.98,1.24961,0.68041,1.13285,0.91024,0.84449,0.92623,0.57734,1.29007,0.66728,1.1841,0.0012674,0.0012674,0.0012674
39,1230.56,1.24619,0.67876,1.13067,0.91118,0.82801,0.92091,0.58047,1.29329,0.65479,1.1741,0.0012476,0.0012476,0.0012476
40,1262.82,1.24831,0.67823,1.13002,0.91813,0.82492,0.92149,0.57901,1.30206,0.65988,1.17674,0.0012278,0.0012278,0.0012278
41,1295.29,1.23823,0.67576,1.12361,0.89315,0.85227,0.91505,0.56986,1.31728,0.67505,1.18024,0.001208,0.001208,0.001208
42,1326.94,1.24172,0.67851,1.12997,0.90762,0.84037,0.91704,0.58463,1.27027,0.64153,1.16146,0.0011882,0.0011882,0.0011882
43,1360.66,1.23561,0.67425,1.12754,0.90967,0.83213,0.91889,0.58559,1.29661,0.65887,1.18302,0.0011684,0.0011684,0.0011684
44,1392.34,1.231,0.6617,1.12508,0.90689,0.85259,0.92301,0.58237,1.30602,0.65625,1.19148,0.0011486,0.0011486,0.0011486
45,1425.02,1.22143,0.65999,1.11997,0.8895,0.85385,0.92044,0.57631,1.30143,0.65382,1.18349,0.0011288,0.0011288,0.0011288
46,1457.18,1.23247,0.66181,1.11971,0.90439,0.8573,0.92643,0.58544,1.29174,0.63414,1.17996,0.001109,0.001109,0.001109
47,1489.98,1.22204,0.65631,1.12119,0.90422,0.86534,0.92785,0.59171,1.27752,0.62728,1.1745,0.0010892,0.0010892,0.0010892
48,1522.01,1.22246,0.65495,1.11765,0.90617,0.8554,0.92524,0.58649,1.28982,0.63928,1.17394,0.0010694,0.0010694,0.0010694
49,1556.34,1.20314,0.65195,1.1121,0.91248,0.83419,0.9199,0.5852,1.28538,0.65241,1.17416,0.0010496,0.0010496,0.0010496
50,1588.63,1.18722,0.64021,1.10585,0.8975,0.85788,0.92084,0.58963,1.26226,0.62904,1.16823,0.0010298,0.0010298,0.0010298
51,1622.23,1.19474,0.64967,1.10965,0.90227,0.85572,0.92777,0.5965,1.26511,0.63257,1.15745,0.00101,0.00101,0.00101
52,1655.15,1.19451,0.63991,1.10805,0.90994,0.85322,0.92793,0.59128,1.28179,0.62471,1.17483,0.0009902,0.0009902,0.0009902
53,1688.11,1.18808,0.63638,1.1077,0.90478,0.85135,0.92768,0.59797,1.288,0.62635,1.16692,0.0009704,0.0009704,0.0009704
54,1720.29,1.18929,0.63058,1.10515,0.91606,0.85685,0.92873,0.59651,1.25789,0.61917,1.17121,0.0009506,0.0009506,0.0009506
55,1752.73,1.16314,0.61641,1.10014,0.90363,0.87127,0.93195,0.5954,1.27331,0.61987,1.1743,0.0009308,0.0009308,0.0009308
56,1785.56,1.17141,0.62687,1.10046,0.90717,0.85273,0.92296,0.58915,1.28473,0.63006,1.18161,0.000911,0.000911,0.000911
57,1816.79,1.17094,0.62169,1.09392,0.91501,0.85376,0.9299,0.59492,1.25948,0.62284,1.16489,0.0008912,0.0008912,0.0008912
58,1850.38,1.18051,0.62273,1.10382,0.932,0.84692,0.92995,0.59436,1.26473,0.61037,1.16854,0.0008714,0.0008714,0.0008714
59,1882.49,1.17416,0.62327,1.10183,0.8963,0.86342,0.92816,0.59307,1.26847,0.61926,1.16807,0.0008516,0.0008516,0.0008516
60,1915.17,1.17747,0.62865,1.10074,0.91683,0.85788,0.92866,0.59267,1.26773,0.60725,1.17144,0.0008318,0.0008318,0.0008318
61,1946.93,1.14616,0.60865,1.09046,0.91955,0.84755,0.92926,0.59673,1.26528,0.61787,1.16285,0.000812,0.000812,0.000812
62,1980.05,1.16227,0.61153,1.09211,0.92062,0.84449,0.92974,0.59958,1.2632,0.60805,1.16309,0.0007922,0.0007922,0.0007922
63,2012.16,1.16668,0.6146,1.0912,0.91626,0.85479,0.92599,0.59894,1.24797,0.60814,1.16907,0.0007724,0.0007724,0.0007724
64,2045.17,1.15791,0.6112,1.08696,0.91028,0.8568,0.92785,0.59462,1.25996,0.61132,1.17618,0.0007526,0.0007526,0.0007526
65,2077.38,1.15727,0.6075,1.09021,0.9214,0.84861,0.93067,0.59324,1.25456,0.60576,1.16095,0.0007328,0.0007328,0.0007328
66,2110.01,1.14714,0.60292,1.08255,0.93004,0.83213,0.92307,0.59604,1.2791,0.60667,1.17545,0.000713,0.000713,0.000713
67,2142.23,1.15114,0.59854,1.09081,0.89584,0.862,0.92465,0.5927,1.27516,0.59954,1.17649,0.0006932,0.0006932,0.0006932
68,2174.33,1.13129,0.59781,1.08194,0.91154,0.84897,0.92899,0.5966,1.2616,0.59366,1.17215,0.0006734,0.0006734,0.0006734
69,2207.12,1.13255,0.59291,1.08035,0.90521,0.85564,0.93192,0.60678,1.25422,0.59745,1.16989,0.0006536,0.0006536,0.0006536
70,2238.53,1.10843,0.58407,1.07826,0.91458,0.86006,0.9342,0.60056,1.24633,0.59059,1.16248,0.0006338,0.0006338,0.0006338
71,2271.24,1.11394,0.58783,1.07875,0.90883,0.86234,0.92748,0.5996,1.26174,0.60049,1.17549,0.000614,0.000614,0.000614
72,2303.05,1.1287,0.59392,1.07942,0.91409,0.86303,0.93076,0.60362,1.26157,0.58958,1.1668,0.0005942,0.0005942,0.0005942
73,2335.81,1.12885,0.58971,1.07592,0.88902,0.87445,0.93444,0.60405,1.25191,0.59015,1.16298,0.0005744,0.0005744,0.0005744
74,2367.53,1.1211,0.58144,1.07792,0.90835,0.86715,0.93138,0.60812,1.24362,0.58155,1.15904,0.0005546,0.0005546,0.0005546
